,name,description,founded_date,category_list,total_funding_amout
0,Shpock,"Shpock (“SHop in your POCKet”) is the boot sale app for beautiful things in your neighbourhood. Items are sorted by your current location, so you can browse through a vast variety of items, discover second-hand treasures or earn s...
See More
ome money by selling your things you no longer use.

Since the initial launch in September 2012, Shpock has attracted more than 30 million downloads in the UK, Germany, Italy, Austria, Sweden and Norway with several million items listed in the app.","Founded: September 15, 2012","Second Hand,Marketplaces,Classifieds,App,Mobile App,Hardware,Software",0
0,Vidyard,"Vidyard is a powerful video analytics and hosting platform designed for content marketers. Get the most out of their video assets with in-depth data on viewer behaviour that can be automatically pushed into their marketing automat...
See More
ion system and/or CRM.","Founded: September 01, 2011","Web,Videos,Analytics,Business,Big Data,Cloud Computing,E-Commerce,Enterprise Software,Marketing Automation,SaaS,Video",60650000
0,Instapage,"Instapage lets marketers build and A/B test landing pages for all of their promotions.

Instapage makes building & A/B split testing landing pages for teams & agencies simple.

The most advanced landing page building software on t...
See More
he market. Every Promotion Needs a Page","Founded: January 01, 2012","Testing,Web,Builder,Templates,Landing Page,Advertising,B2B,SaaS,Software",0
0,BrowserStack,"BrowserStack provides complete range of browsers for cross browser testing. It features local testing, pre-installed debugging tools and resolution testing. The company let us know beta testers helping improve their service can ex...
See More
pect a free 6 month subscription when they go live.","Founded: September 01, 2011","Browser,Testing,Debug,Mobile,SaaS",0
0,All Events in City,All Events in city enables users to discover all the events happening around the city where they reside. It's one of the largest event discovery platform with more than 60 Million events listing and 3Million monthly users.,"Founded: April 05, 2011","Events,Media,City,News,Local Discovery,Event Sharing,Marketing Platform,Mobile App,Concerts,Event Promotion,Music,Social Media Marketing,Web Hosting",0
0,tawk.to,tawk.to is a free live chat app that lets you monitor and chat with visitors on your website or from a free customizable page. No catch. No spam. No wares. It's truly free and always will be.,"Founded: October 01, 2010","B2B,Chat,Enterprise Software,Small and Medium Businesses,Customer Service,Messaging",0
0,Cloudways,"Cloudways - Cloud hosting platform to manage DigitalOcean, Amazon & Google Compute Engine servers. Built for developers, designers, web agencies and SME's.","Founded: April 01, 2012","Cloud,Hosting,Online Platform,DigitalContent,Web,Cloud Computing,PaaS,Web Hosting,Cloud Management,Apps",0
0,Lingualeo,"Lingualeo is a personal online service for English language learning. 
Lingualeo uses engaging and effective methodics, personal approach, high quality content, gamification tools, thus solving the problem of motivation. It perfo...
See More
rms grammar, reading and listening exercises, and also vocabulary practice exercises. Lingualeo is available on web and mobile platforms (Android, iOS, Windows Phone), and as extension for popular browsers. 
More than 16 mln students use Lingualeo for language learning. 
Lingualeo’s mission is to help people master foreign languages.
The company was founded in 2009, and came to break even in the middle of 2015.

Privately held and funded by Runa Capital Lingualeo is a global company with team in several countries. 

For more information about Lingualeo and its products, visit www.lingualeo.com.","Founded: March 01, 2009","Web,Language Learning,Mobile,English,Development,Education",6000000
0,Cashu,"CASHU is a safe payment method designed for and customized to suit, serve & support online shoppers in all Arabic speaking and surrounding countries with secure, accessible and easy to use payment solutions, giving everyone the po...
See More
ssibility to buy online without discriminating on income, nationality or banking contacts.","Founded: January 01, 2002","Online Shopping,Security,Web,Payments,Internet",0
0,Examine.com,"As an independent and unbiased organization that does not sell any supplements, we focus on the actual scientific evidence when it comes to supplements and nutrition.","Founded: January 01, 2011","Web,Nutrition,Supplements,Encyclopedia,Information",0
0,Help Scout,"Help Scout enables teams to share an email inbox so that no emails slip through the cracks. You can collaborate in real time, add private notes to conversations and assign them to various members of your team. 

Help Scout is g...
See More
reat for customer service or support. Unlike a complex help desk, there's no re-branding or complicated settings to customize. It's focused on email and providing  your customers with personalized service.","Founded: January 01, 2011","Email,CRM,Collaboration,Web,Customer Service,Finance,Software",12980147
0,Jobrapido,"Jobrapido - Search all job vacancies posted on all career sites across the World!

Jobrapido is the world’s leading job search engine operating in 58 countries and is shaping a new standard in online job searching.

Jobrapido is t...
See More
he world’s leading job search engine. As industry frontrunners Jobrapido is shaping a new standard in online job searching, thanks to its pioneering technology and innovative products that allows Jobrapido to analyze and aggregate job listings from all over the web, so that candidates can find all relevant jobs in one place.
Established in 2006, Jobrapido has achieved unprecedented global popularity. The Company lists over 20 million jobs every month, records 35 million unique users per month and has more than 70 million registered users. From its headquarters in Milan, Jobrapido conducts business in 58 countries, where it matches the right candidates with the right roles at thousands of companies around the world, helping companies to get qualified candidates on demand. Since April of 2014, Jobrapido is part of Symphony Technology Group (STG).","Founded: January 01, 2006","Jobs,Jobs Search,Web,Career Planning,Employment,Search Engine",0
0,Flywheel,"Flywheel is a premium WordPress hosting and management solution built specifically for web designers, freelancers and creative agencies. Flywheel pairs a robust, scalable, secure hosting infrastructure with a software-as-a-service...
See More
 management application which allows web designers to easily manage all of the WordPress sites under their control. Flywheel provides an easier way for designers to handle billing, permissions and updates to client sites, and on the backend automatically handles all of the security updates, hacker protection and performance tuning.","Founded: October 01, 2012","Web Design,Web Development,Web Hosting,Cloud Computing,Energy Management,Information Technology,Blogging Platforms",61822785
0,UXPin,"UXPin - People outside of design don't always know exactly what it is that UX designers do, and if you're making your first foray into UX design, then you may not either! That's okay, UXPin is built from the ground up on solid UX ...
See More
design principles and a collaborative methodology, offering you a full toolkit of good user design patterns and elements to build great designs in concert.","Founded: November 11, 2010","Computer,Information Technology,Project Management,Software",7300000
0,Dream11,"Dream11 - The World's No.1 Fantasy Cricket Game of Skill.

Dream11 is India’s Biggest Sports Game with 3 crore+ users playing Fantasy Cricket, Football, Kabaddi and NBA.

**Official Fantasy Football Partner of Hero ISL**

Dream11 ...
See More
is India's #1 Fantasy Sports platform with an exponentially growing user base of over 1.5 crore sports fans playing fantasy cricket, football and kabaddi!

A Series C funded tech startup, Dream11 offers sports fans a platform to showcase their sports knowledge by creating their own team choosing players from those playing in real-life matches. Based on how their chosen players perform in that match, Dream11’s users are awarded points and compete to be a winner in every match. Dream11 helps sports fans increase their engagement and connect deeper with the sport they love by being a team owner, not just a spectator!","Founded: December 08, 2011","Games,Sports,Cricket,E-Commerce,Fantasy Sports,Mobile",0
0,Designhill,"Designhill is an online platform that allows businesses/customers that have specific design needs such as logo design, web design or any type of graphic design to run a Design Contests and get the option to choose from designs sub...
See More
mitted by designers from all over the world within a very short space of time.

Designers from across the globe are registered members with Designhil get a chance to not only showcase their talent but also enhance their skills by learning from each other in a healthy competitive environment.","Founded: October 01, 2014","Crowdsourcing,Design,Graphics,Marketplaces,Platforms,Connections,Designers,Online,Web,Logos,Graphic Design,Web Design",0
0,Jimdo,"Jimdo - The easiest way to create a website and online store. Jimdo is a unique Web 2.0 website creator which enables people to build their own elegant and custom websites - for free! Using Jimdo is very easy: within seconds users...
See More
 can add texts, picture galleries, videos, and even a blog. Additionally, Jimdo sites have password-protected areas, a newsletter system, a guestbook, and easy integration with YouTube, Flickr, and Delicious. Jimdo was founded in February 2007 by the three young entrepreneurs Christian Springub, Fridtjof Detzner and Matthias Henze. The company is based in Hamburg, Germany.","Founded: March 01, 2007","Web,Online Stores,Builder,Website Builder,Website,Blog,Small Business,Entrepreneurs,Internet,Web Development",0
0,JMTY,JMTY - ジモティーは無料で使える広告掲示板です。中古品の売買、イベントの告知、求人情報、メンバー募集、スクール情報、お店の情報、セミナー情報、不動産情報などの情報を無料で掲載できます。,,,0
0,OnDemandKorea,"ODK Media Inc. operates online TV platforms ""OnDemandKorea"" that provides asian TV shows to users around the world.

북남미에서 각종 한국콘텐츠를 합법적으로 볼 수 있는 곳! 온디맨드에서 매일 업데이트 되는 드라마, 예능, 영화를 최고의 화질로 무료시청하세요!

해외에 거주하며 한국을 그리워하는 모든 교민들에게 ...
See More
최고의 서비스를 제공합니다! 최신 영화, 드라마, 예능, 뉴스, 스포츠 등 다양한 콘텐츠를 감상하세요.

Follow us on:
Twitter - twitter.com/OnDemandKorea
Instagram - www.instagram.com/OnDemandKorea_","Founded: December 31, 2011","Entertainment,Movies,Streaming,TV,Media,Korea,Tv Shows,Media and Entertainment,Video Streaming",0
0,Dealspotr,"Since late 2015, Dealspotr has saved shoppers over $15 million with the most advanced real-time deal sharing platform on the internet. It is a crowdsourced platform, akin to Wikipedia, that rewards users for posting accurate deals...
See More
 - & we reward quicker than any other site. We are already the best coupon site online in terms of coverage and accuracy of discount codes.

This summer, we will complete the launch of our Open Brand / Influencer Marketplace. This will be a social platform unlike any other, where brands and merchants of any size can browse our influencer database and collaborate with them on campaigns. Influencers large and small will also have the ability to search for brands they love, and take on mutually beneficial projects through them.","Founded: October 05, 2015","Community,Coupons,Curated,Deals,Web,Promotions,E-Commerce,Finance,Gamification",0
0,Thinglink,"Thinglink - Add videos and sound players, social links and more to your images and distribute them across web and social channels. Get a free account today.","Founded: January 01, 2010","Share,Social Media,Video Sharing,Linking,Image Sharing",3325000
0,Voices.com,"Voices.com has changed the way the voice over industry does business by creating cutting-edge technology that allows clients to negotiate directly with talent without an agent’s intercession. Using proprietary technology such as t...
See More
he Voice Search™ system, clients can review the credentials and demos of voice-over talents and post jobs. Voice talents can showcase their skills and experience on a unique website, review job postings and submit auditions. Voices.com even allows clients to hire and pay talents directly using the patented SurePay™ escrow system. No other voice-over platform offers the same technology or business practices; we are the leaders in the industry.","Founded: October 30, 2005","Audio,Marketplaces,Digital Media,Voice,Voice Actor,Voice Overs,Audio Record,Soundcloud,Sound,Sound Effects,Soundtrack,Videos,Video Learning,Advertising,Audiobooks,Broadcasting,E-Commerce,Mobile,Video,Video Streaming",21400000
0,FlipSnack,"FlipSnack is everything people need to easily publish captivating online magazines, transforming pdfs into online flipbooks. It works and looks great across all digital platforms, engaging your customers with interactive experienc...
See More
es and making it easy to sell directly from the pages of your digital publication.","Founded: April 08, 2011","Magazine,Customers,Engagement,Web,Flipbooks",0
0,BTCClicks,"BTCClicks is a web advertising platform aimed at bitcoin users.

BTC Clicks is an advertising platform where advertisers can receive quality traffic and members can earn bitcoins.","Founded: April 01, 2013","Advertising,Marketing,Bitcoins",0
0,SoundSnap,SoundSnap - The largest membership based sound library in the world.,"Founded: January 01, 2007","Web,Sound,Sound Effects,Audio",0
0,Gamehag,"The idea is simple. Play games, complete quests, get rewards. 

Founded by three determined friends in Poznan, Poland.

Now, after three years:
- employing 25+ young and creative people
- providing services all over the worl...
See More
d in 9 languages
- connecting over 5 mln gamers together
- approximately $200k in rewards given","Founded: June 01, 2016","Games,Gamers,Gaming,Entertainment,Free Games,Game Players",0
0,GetYourGuide,"GetYourGuide collects and categorizes all the world’s things to do so you research less and do more. Africa to Oceania and back again, we make it simple for you to find and book an activity that will make your trip — or your day.","Founded: June 01, 2009","Internet,Tourism,Travel",170500000
0,Appsflyer,"Appsflyer - Mobile Apps Installation Referral & Conversion Tracking Service

The world’s leading data-driven marketers rely on AppsFlyer for independent measurement solutions and innovative tools to grow their mobile business.

Th...
See More
e world’s leading data-driven marketers rely on AppsFlyer for independent measurement solutions and innovative tools to grow their mobile business.","Founded: April 01, 2011","Services,Tracking,Mobile App,Advertising,Analytics,Android,Apps,Marketing,Mobile,IOS",83100000
0,Alodokter.com,"Alodokter.com plans to be the number 1 healthcare website in Indonesia. We aim to bring medical knowledge to Indonesian public by providing easily accessible content in Bahasa Indonesia and by developing an online healthcare commu...
See More
nity.",,"Healthcare,Knowledge,Online Platform,Web",0
0,Workable,"Workable helps companies improve the quality and efficiency of their hiring by simplifying the most time-consuming task: browsing, screening and managing candidates.","Founded: July 12, 2012","Hr,Hiring,Recruiting,Cloud Computing,Human Resources,Software",34000000
0,ThemeIsle,"ThemeIsle is a WordPress themes shop were themes are like diamonds crafted on an island. Members of our Pirate Club will get unlimited small fixes for their site and proactive support for only $75/month .

Ye won’t spend a fortu...
See More
ne on paid plugins to make sure yer theme sails smoothly on The Seven Seas. Custom and highly customizable widgets are part of our never ending mission, so ye can easily adjust the themes to suit yer needs.","Founded: February 15, 2013","Information Technology,Internet,Web Cms,Web Design,Web Development,Business Development,Enterprise Software,Online Portals",0
0,PixaTool,"You can use PixaTool to get 8bit / Pixel style images or videos, optimize your PixelArt or game assets just adding some cool effects. Works as a PixelArt converter or PixelArt conversion tool. 

With the new Pixatool you can man...
See More
age any image size, even 4k or higher, load external color palettes and a new and more easy batch processing.","Founded: January 01, 2018","Converter,Graphic Design,Photo Editing,Software,Tool",0
0,Practo,"Practo - We help you find the best doctors for your problems, and help doctors manage their practice. Stay tuned for interesting updates.

We help you find the right doctors for your problems, and help doctors digitize their pract...
See More
ice.

In May 2008, Practo Technologies was incepted to make the process of accessing health care easier for patients. The company brings seekers and providers of medical expertise on a common platform and also allows digitisation of medical information and history. 

Practo Technologies offers two products: One for patients called Practo.com and another for doctors entitled Ray by Practo. 

Practo.com is a website that allows patients to search for the best doctors in their vicinity as per specialisation. It enables users to make an informed decision by providing critical information about the doctor like his/her qualifications, experience, services offered, reviews etc.

These listings are absolutely free and accessible to doctors and clinics as well as patients which are the USP of this service. Further, it allows patients to look at available slots and book an appointment when required.
 Practo.com also helps patients to digitally store all their medical records and associated history. 

Ray by Practo was launched in India in 2008 followed by its international launch in Singapore in 2013.Practo Ray is a subscription-based SAAS product that Clinics and Healthcare providers use to manage their practice. It looks at automating and bringing in efficiencies for the clinic in managing patient contacts and scheduling appointments. With over 10 million electronic patient records that are doubling every year, Ray by Practo has handled more than 6 million unique patients with over 7.5 million appointments a year. It facilitates communications to patients via SMS and email, creating, storing and 
haring electronic medical records of patients, managing and controlling clinical equipment and supplies for procedures, retailing medicines and drugs in an attached pharmacy and finally giving a combined report and analytics of how the clinic is doing financially. 

Growing in popularity over the years, Practo.com has over 100,000 doctors listed on the site across 310 Indian towns and cities with comprehensive coverage in the 7 major cities of Delhi, Mumbai, Pune, Chennai, Hyderabad, Kolkata and Bangalore.

Contact us on: [email protected]","Founded: April 04, 2008","Booking,Doctors,Health,Appointment,Health Care,Marketplace,SaaS",234000000
0,Urban Ladder,"Urban Ladder provides curated furniture design for you to choose from.

At Urban Ladder, we want you to discover the joy of creating. Starting with your home.

In 2012, we started Urban Ladder with a vision - to make a million hom...
See More
es beautiful. Back then, our catalogue featured just 35 designs, but to our customers they signified infinite possibilities. The same table, the same chair was used completely differently by different people. This told us something. People like their homes to be unique. 

Today, we realise we’re here not just to sell well-designed products. We’re here to help you create spaces that mirror who you are. Our new brand identity is a reflection of this renewed purpose. It’s a celebration of the creative spirit that makes each of us and our homes different.


CREATIVITY IS FOR EVERYONE 
Most of us think of creativity as something rare. Something only a few are blessed with. In reality though, there’s nothing more ordinary than creativity. 

To be creative simply means to create. And that’s something we do all the time. 

We tell stories even if we’re not writers. We think new thoughts even if we’re not thinkers. We experiment with recipes even if we’re not chefs. And we create spaces even if we’re not designers. 

At Urban Ladder, we want you to discover the joy of creating. Starting with your home","Founded: July 12, 2012","Web,Furniture,Online Shop,Decor,Decoration,E-Commerce,Home Decor,Internet",1100000000
0,Wantedly,Wantedly は、一緒に働く「仲間」にフォーカスした、シゴト探しサイトです。どんな人がどんな想いで働いているのか、事前に分かり、会いに行けます。,"Founded: September 01, 2010",Web Hosting,0
0,iubenda,"iubenda allows anyone to generate the Privacy Policy for his website (powered by a strong legal team)

iubenda is a privacy policy generator for websites, mobile apps and Facebook apps / www.iubenda.com","Founded: February 22, 2011","Internet,Legal,Privacy,SaaS,Software",0
0,MailerLite,"MailerLite - Easy to use web-based email marketing software. It can help you create and send email newsletters, manage subscribers, track and analyze results.","Founded: January 01, 2010","Analytics,Data Analysis,Email Marketing,Newsletter,Software,Web,Enterprise Software",0
0,AglaSem,"In the journey of making it big in life, succeeding in the arena of education and career; Aglasem will be your friend, philosopher and guide!

From class notes for school students to entrance examination preparation and career g...
See More
uidance; you will find it all in one place.

The latest and most updated information for everything related to education.","Founded: June 07, 2012","Education,Information,Update,Web,Guides,Edtech",0
0,Buyma,Buyma - 世界中のファッションアイテムが手に入るECサイト。 世界75カ国に在住する約4万人のバイヤーにお買い物を依頼できます。 自分もバイヤーになって、商品をセレクトして販売することも可能。,,,0
0,Gilabola.com,"Gilabola.com is the most popular soccer community in Indonesia. Built by some pioneers of Indonesia's internet news portal giant!

Berita Bola Terbaru dan Terpopuler

Berita bola terbaru dan terlengkap, dari Liga Inggris, Liga Ita...
See More
lia Serie A, Lige Jerman Bundesliga, Liga Spanyol, Liga Super Indonesia, ISL, Timnas Indonesia, Liga Champions, Liga Europa, EURO, AFC Cup, Piala Asia dan masih banyak lagi. Dan juga dapatkan jadwal pertandigan, hasil pertandingan, klasemen terbaru, berita transfer, rumor dan gosip transfer pemain bola.","Founded: August 01, 2013","Soccer,News,Football,Web,Community,Sports,ESports,Online Portals",0
0,Leetchi.com,"Leetchi.com est une plateforme web permettant l'organisation de cadeaux à plusieurs. A l'occasion d'un anniversaire par exemple, fini la galère de savoir qui organise, qui avance les fonds, et qui achète le cadeau! Leetchi facilit...
See More
e l'organisation, gère la collecte des fonds et permet d'acheter le cadeau. Utilisez leetchi pour un cadeau d'anniversaire commun, un pot de départ ou encore une soirée entre amis. Gagnez du temps et ne perdez plus d'argent : Occupez-vous de vos amis, leetchi s'occupe de vos cadeaux!","Founded: January 01, 2009",,0
0,beBee,"The all-in-one platform for building a successful personal brand. Affinity networking, job postings, live video, Google searchable blogging platform, interest hives.","Founded: January 01, 2015","People,Web,Social Network,Networking,Affinity,Personal Branding,Communities,Professional Networking",0
0,Cacoo,"Cacoo is a web-based collaborative diagramming software for the creation of sitemaps, UML, wireframes & network charts etc.

Easy collaborative diagramming with Cacoo

Keep updated with our latest news and stories, as well as shar...
See More
e your comments and suggestions with us.","Founded: February 04, 2006","Diagrams,Developer APIs,Real Time,Collaboration",0
0,Conduit,"Conduit provides cloud-based solutions that empower web and mobile publishers to engage their users across multiple platforms. From Community Toolbars and mobile apps to mobile-friendly sites and web bars, the company’s products e...
See More
nable publishers to constantly connect with their users wherever they are. Founded in 2005, Conduit has grown in just seven short years to be Israel’s largest Internet company, worth close to $1.5B in its latest valuation. Today, more than 260,000 publishers of all sizes leverage the company’s innovative solutions to generate billions of monthly interactions with over 250 million end users. Some of Conduit’s loyal partners include Groupon, Fox News, Time Warner Cable, Travelocity, The Weather Channel, and other major Internet, media, and communication brands.","Founded: January 01, 2005","Cloud Computing,Enterprise Software,Online Portals",109800000
0,Passei Direto,"Passei Direto - Brazil's larget academic social network. Criar um sistema em que alunos de todo o Brasil possam se ajudar, tirando dúvidas e compartilhando material de estudo.","Founded: August 16, 2012","Educational,Social Networks,Students,Education,Universities",27300000
0,Tailor Brands,"Tailor is an algorithm that makes branding affordable, by allowing a computer to ""think"" like a graphic designer. It works with small and local businesses to create complete brand identities and allows anyone to enjoy the privileg...
See More
e of a branding agency for a tenth of the market price and a process of just 20 minutes.","Founded: June 11, 2014","Brands,Design,Web,Machine Learning,Logos,Unique,Brand Marketing,Consulting,Personal Branding",9100000
0,Crowdworks,CrowdWorks - 日本最大級のエンジニア・デザイナーのクラウドソーシングサイト「クラウドワークス」の公式twitterです！お仕事マッチングサイトとしておすすめ案件を情報提供するほか、キャンペーン情報などをつぶやきます。 ハッシュタグは #crowdworks ※基本的にはbotでの運用となっております。,"Founded: November 01, 2011","Crowdsourcing,Internet",14570000
0,Thrillophilia,"Thrillophilia is the one stop solution for tours, experiences, adventure activities and things to do in the Indian subcontinent. Thrillophilia’s travel explorers travel across to curate best local experiences and handpick the best...
See More
 local guides and vendors to give you a complete offbeat experience.","Founded: May 20, 2009","Activities,Travel,Trips,Local,Tourism",260000
0,Baomoi,"Baomoi là một website tổng hợp thông tin tiếng Việt hoàn toàn được điều khiển tự động bởi máy tính. Mỗi ngày gần 6500 tin tức từ hơn 80 nguồn chính thức của các báo điện tử và trang tin điện tử Việt Nam được Baomoi tự động tổng hợ...
See More
p, phân loại, phát hiện các bài đăng lại, nhóm các bài viết liên quan và hiển thị theo sở thích đọc tin của từng độc giả.","Founded: January 01, 2006",,0
0,Qobuz,"Qobuz: a site to download in high-fidelity, listening on demand, music information and exchanges like you still have not ""heard""! A site where all styles come together and meet in the middle of intelligence and harmony. A site fid...
See More
elity, where the music is beautiful.","Founded: January 01, 2007","Music,Music Streaming",0
0,TravelTriangle,"TravelTriangle.com is a marketplace for the travelers, connecting them with multiple specialized and local agents to get customized quotes. It takes away all the headache of traveler of contacting multiple agents through different...
See More
 means, or visiting 10-15 travel websites seeking expert guidance to find the best and customized deal as per their requirements.","Founded: July 01, 2011","Local,Marketplaces,Travel,Travelers,Trips,E-Commerce,Personalization,Tourism",19900000
0,Marvel,"Marvel is a simple way for designers and agencies to seamlessly turn designs into prototypes for rapid prototyping, pitches and feedback

Turn your sketches and images into realistic prototypes for any device and get feedback. No ...
See More
coding required.","Founded: November 01, 2013","Design,Designers,Mobile,Product Design,User Experience Design,Apps,Cloud Storage,Photography,Sales",7440000
0,Front,"Front is the first collaborative inbox for businesses. Work as a team on your company inboxes thanks to comments, assignments, notifications, activity feed and more. No more dirty bcc’s or unanswered emails on your [email protected], conta...
See More
[email protected], [email protected], [email protected] addresses.","Founded: February 14, 2016","B2B,Collaboration,Customer Support Tools,Email,Email Client",0
0,Yotpo,"Yotpo is a a new internet startup based in Tel-Aviv Israel. Yotpo is a Tel Aviv based startup in the e-commerce space. Yotpo provides a free plug-and-play social reviews service to online stores. Yotpo helps store owners generate ...
See More
more reviews than any other solution out there and this in turn brings more traffic and more sales. Yotpo leverages the influence of your customers (and their social graphs) to spread the word about your store, resulting in more leads and higher profits.","Founded: February 03, 2011","E-Shop,Reviews And Recommendations,Social,Online Stores,Profit,Content,E-Commerce,Marketing,Social Media Marketing",101000000
0,PushBullet,"PushBullet makes it easy to instantly push files, links, notes, lists, reminders, addresses, and more to your and your friends Android phones and tablets.","Founded: January 01, 2013","Friends,Pushing,Social,Push Notification,Digital Media,File Sharing,Mobile",0
0,GitLab,"GitLab is an open-source code collaboration platform that enables developers to create, review, and deploy code bases. It is built to run on clients’ infrastructures.
The platform includes Git repository management, code reviews,...
See More
 issue tracking, wikis, and more, along with a continuous integration and deployment tool called “GitLab CI”.","Founded: January 01, 2014","Code,Collaboration,Labs,Solutions,Git,Web,Reviews And Recommendations,Deployment,Information Technology,Open Source,Software",45620000
0,Pepperfry,"Pepperfry is India’s No. 1 online Furniture, Home and Living destination, offering products across categories like Furniture, Home Décor, Furnishings, Kitchen & Dining, Homecare, Fitness, Leisure and Pet Supplies","Founded: January 01, 2011","Decor,Fitness,Marketplaces,Online Shopping,Products,Leisure,Furniture,E-Commerce,Shopping",159000000
0,Instamojo,"Instamojo empowers individual creatives and businesses to sell online from any website. Simply upload details, promote to your audience through a link & collect payments in minutes. 
To help you promote and sell to your audience,...
See More
 we provide you an out-of-the-box e-commerce framework that takes care of mundane stuff from payments to delivery.

Now, all a seller needs to do is share or paste a link wherever its audience is. The short link is wrapped with a payment system with simplistic checkout which lets a buyer buy instantly and seller sell without even moving a finger.

Saying that, thousands of users are already using Instamojo to sell their ebooks, reports, music, software, templates, event tickets, photos, tutorials etc.","Founded: September 01, 2012","E-Commerce Platforms,Payments",3100000
0,Workana,"Workana - We help our customers to find the best remote talents for their projects. We also help professionals to get jobs according to their preferences, skills and price range. We achieve all this in the safest way for both side...
See More
s.","Founded: January 01, 2012","Jobs,Recruitment,Talent,E-Commerce,Outsourcing",5100000
0,Bitso,"Bitso is Mexico's leading Bitcoin, Ether, and Blockchain technology provider.

El exchange de Bitcoin en México

Bitso es una plataforma mexicana de intercambio, envío y recepción de divisas digitales como Bitcoin y Ether. Su enfo...
See More
que en regulación y cumplimiento, integraciones bancarias de último nivel, APIs para desarrolladores y altos estándares de seguridad lo hacen el referente de operaciones de divisas digitales en México. Bitso utiliza tecnología de Bitcoin y Blockchain para mejorar la calidad y el acceso a los servicios financieros en México. Para mayor información visita: bitso.com

----

Bitso is the de facto standard that connects Mexico's traditional banking infrastructure to the new digital era of Bitcoin and Blockchain. We are re-envisioning how international payments and cross-border transactions work harnessing the new borderless financial network of Bitcoin's Blockchain. Bitso's founding team is made up of three entrepreneurs with great backgrounds in design, engineering, and business with prior startup experience & exits under their belt.","Founded: April 01, 2014","Bitcoin,Crypto Currency,Bitcoins,Digital Currency,Web,Finance,Financial Services,Security",4350000
0,RareJob.com,"RareJob - Online English Tutorial. RareJob is the largest Online English School in Japan.

25分129円～のマンツーマンレッスン『レアジョブ英会話』www.rarejob.com

『レアジョブ英会話』を運営する株式会社レアジョブの公式Facebookページです。www.rarejob.com

当Facebookページでは英語学習関連したサイト・まとめや英語に関す...
See More
る小ネタの紹介、またフィリピンの文化や海外から見た日本の情報など、英語学習に興味のある生徒様に楽しんで頂けるようなコンテンツを配信します。

なお、当Facebookページに投稿された内容は、当社の公式見解を表明しているものではありませんことを予めご了承ください。

コンテンツの投稿は細心の注意を払って行っておりますが、情報の正確性、完全性について保証するものではありません。また、コンテンツに投稿されたコメントは、不適切な内容が含まれる場合、スタッフの判断により削除させていただく場合がございます。",,"Chat,Language Learning,English Speaking World",0
0,Kanui,"Kanui is a Brazilian e-commerce focused on fashion and outdoor sports.

Compre através do site kanui.me/Face_home

Ou pelo nosso telefone: (11) 3053-7600

Na Kanui você encontra tudo o que procura para o seu lifestyle, de roupas, ...
See More
calçados e acessórios até equipamentos específicos para o seu esporte preferido. Moda jovem, surf, Skate e esportes de ação no geral! Nossa página no Facebook é um dos nossos canais de comunicação com você.


Aqui você encontra dicas para se inspirar, informações sobre os nossos produtos e promoções, além de ficar por dentro de todas as nossas campanhas e lançamentos.

Queremos ouvir sua opinião e responder todas as dúvidas o mais rápido possível. Para manter as conversas sempre saudáveis, qualquer comentário abusivo, ilegal, ofensivo, de propaganda ou spam será deletado. 

USO DE IMAGENS

Muitas das imagens aqui divulgadas não são de nossa autoria. Se alguma foto for sua e você desejar que ela seja creditada ou retirada, por favor entre em contato.Obrigado
[email protected]

Many of the published images here are not our own. If your picture is published here and you want it to be credited or removed, please contact us. Thank you.
[email protected]","Founded: January 01, 2011","E-Commerce,Fashion,Marketplaces,Sports",0
0,e-food.gr,"e-food.gr - It  is the easiest and fastest way to order delivery!

Σκοπός μας είναι να σε κρατήσουμε μακριά από την κουζίνα, το νεροχύτη και την άβολη στιγμή που θα σκεφτείς ""Πφφφ... Τελείωσε το φαγητό!""

Το Νο1 site για Deliv...
See More
ery Online από χιλιάδες καταστήματα!Χωρίς καμία επιπλέον χρέωση – δεν χρειάζεται πιστωτική κάρτα
Εύκολα και γρήγορα – τέρμα οι κατάλογοι στο συρτάρι, η αναμονή στο τηλέφωνο και τα λάθη 
Καινούρια εστιατόρια - ανακαλύψτε καθημερινά καινούρια εστιατόρια από πολλές διαφορετικές κουζίνες","Founded: January 01, 2011","Delivery Services,Food,Order Food",0
